comparacoesAVL	tamanhoAVL	comparacoesABB	tamanhoABB
14	9495	9	9495
17	28154	22	28154
16	42514	18	42514
14	30632	21	30632
10	2173	17	2173
17	32235	29	32235
15	5924	22	5924
13	21364	16	21364
13	31848	24	31848
14	25757	15	25757
16	58073	27	58073
16	495	12	495
12	4164	14	4164
17	29841	18	29841
17	47155	18	47155
16	32911	23	32911
10	2609	15	2609
14	36258	14	36258
18	35840	20	35840
19	51713	28	51713
16	53279	23	53279
17	13481	22	13481
17	11206	22	11206
16	26588	18	26588
17	8612	22	8612
15	44095	16	44095
14	13645	19	13645
16	38378	17	38378
15	3208	19	3208
15	29527	16	29527
14	20698	21	20698
17	49054	27	49054
16	34033	26	34033
16	3212	13	3212
15	19686	19	19686
15	36205	24	36205
15	11798	25	11798
15	1961	13	1961
17	57568	24	57568
15	19997	18	19997
15	27717	24	27717
15	31993	25	31993
16	20491	13	20491
14	8232	13	8232
14	1833	14	1833
15	43997	24	43997
17	17494	16	17494
14	4441	19	4441
14	20255	15	20255
17	53334	22	53334
15	32505	24	32505
16	49885	16	49885
13	6814	14	6814
13	20063	25	20063
17	52825	22	52825
15	51778	19	51778
13	4157	20	4157
17	42821	26	42821
15	30155	24	30155
13	7364	17	7364
13	12347	22	12347
16	50853	14	50853
16	56417	25	56417
15	46379	18	46379
16	30416	21	30416
15	16102	15	16102
14	22583	24	22583
16	18565	20	18565
15	54415	25	54415
15	20151	22	20151
16	38561	16	38561
15	58483	25	58483
15	28495	16	28495
17	35403	24	35403
17	43067	26	43067
14	19400	17	19400
13	560	17	560
14	11120	19	11120
15	16006	22	16006
15	30245	33	30245
14	19976	14	19976
14	5890	17	5890
16	13411	16	13411
17	40038	25	40038
16	58714	23	58714
16	5188	22	5188
15	44194	18	44194
16	41534	19	41534
16	35342	28	35342
14	27909	17	27909
15	53881	26	53881
15	2546	15	2546
16	16611	19	16611
14	9313	18	9313
15	16779	23	16779
16	39194	21	39194
13	27877	25	27877
15	11193	15	11193
15	35696	25	35696
13	6437	21	6437
17	46028	18	46028
15	4190	20	4190
18	41840	20	41840
15	29094	20	29094
16	10868	13	10868
14	37591	22	37591
14	6005	18	6005
16	21987	24	21987
16	53596	23	53596
16	36250	25	36250
15	18315	22	18315
16	35837	25	35837
14	26012	25	26012
15	58352	23	58352
12	10903	21	10903
10	7551	25	7551
15	18898	17	18898
17	28788	17	28788
17	42892	18	42892
16	46806	23	46806
15	22668	10	22668
16	21790	22	21790
15	11131	16	11131
16	15631	27	15631
14	31102	21	31102
15	4262	11	4262
15	54824	20	54824
13	35331	21	35331
14	15454	19	15454
15	6871	21	6871
15	41767	19	41767
16	37833	22	37833
15	47412	24	47412
14	23606	20	23606
13	6926	13	6926
17	58279	26	58279
15	1196	16	1196
16	12931	23	12931
15	56618	20	56618
17	31143	20	31143
15	25532	19	25532
17	14932	26	14932
13	43332	19	43332
15	51543	14	51543
16	49635	22	49635
15	54234	22	54234
17	59093	18	59093
14	8532	22	8532
16	23021	27	23021
15	18336	29	18336
17	55338	24	55338
16	22041	22	22041
14	16477	29	16477
16	42820	21	42820
15	37671	16	37671
15	23931	20	23931
16	47081	28	47081
16	8846	22	8846
17	59261	27	59261
16	38887	23	38887
